,word_in_post,Number_of_time_word_occured
0,Blueberry,1
1,Pancake,1
2,Cake,1
3,with,31
4,trishayearwood,1
5,TrishaYearwood,1
6,says,1
7,this,11
8,is,11
9,basically,1
10,a,39
11,giant,1
12,pancake,1
13,in,28
14,skillet,1
15,and,47
16,we,4
17,are,8
18,100,1
19,on,27
20,board,1
21,that,7
22,Save,1
23,her,4
24,recipe,7
25,the,76
26,FoodNetworkKitchen,19
27,app,19
28,Why,3
29,does,2
30,everything,2
31,just,3
32,taste,4
33,BETTER,2
34,skewer,2
35,Paired,2
36,gorgeous,2
37,cucumber,2
38,cilantro,2
39,rice,3
40,these,2
41,spicy,2
42,grilled,2
43,shrimp,2
44,make,11
45,for,31
46,an,4
47,incredible,2
48,summer,4
49,dinner,3
50,Click,7
51,link,8
52,our,9
53,bio,8
54,to,45
55,take,8
56,clairethomas',2
57,class,8
58,today,3
59,Don't,2
60,forget,2
61,pics,2
62,tag,2
63,ICYMI,1
64,bobbyflay's,1
65,juicy,2
66,turkey,1
67,burgers,1
68,10,3
69,when,1
70,topped,1
71,Swiss,2
72,cheese,3
73,stuffed,1
74,portobello,1
75,mushrooms,1
76,entire,1
77,BobbysBurgers,1
78,course,4
79,including,1
80,Portobello,1
81,Mushroom,1
82,Turkey,2
83,Burgers,2
84,Add,5
85,PIE,1
86,IRON,1
87,your,22
88,camping,1
89,packing,1
90,list,1
91,best,3
92,breakfast,1
93,EVER,1
94,save,4
95,Recipe,4
96,of,17
97,Day,7
98,S'mores,1
99,Blossom,1
100,Cookies,1
101,foodnetworkkitchen,1
102,Bold,1
103,toppings,3
104,like,2
105,creamy,1
106,goat,1
107,lemony,1
108,honey,1
109,mustard,1
110,give,1
111,BobbyFlay's,1
112,TONS,1
113,flavor,2
114,A,3
115,marathon,1
116,classic,2
117,BeatBobbyFlay,1
118,episodes,1
119,starts,1
120,next,1
121,4,3
122,3c,1
123,There's,1
124,wow,1
125,then,2
126,there's,1
127,OMG,1
128,WOW,1
129,From,3
130,epic,1
131,fights,1
